,class
2499,dog
2500,dog
2501,dog
2502,dog
2503,cat
2504,dog
2505,dog
2506,cat
2507,dog
2508,dog
2509,cat
2510,dog
2511,cat
2512,cat
2513,dog
2514,cat
2515,dog
2516,dog
2517,dog
2518,dog
2519,dog
2520,dog
2521,dog
2522,cat
2523,dog
2524,dog
2525,dog
2526,dog
2527,cat
2528,cat
2529,dog
2530,dog
2531,dog
2532,cat
2533,dog
2534,dog
2535,dog
2536,cat
2537,cat
2538,dog
2539,dog
2540,cat
2541,dog
2542,cat
2543,cat
2544,dog
2545,cat
2546,cat
2547,cat
2548,dog
2549,dog
2550,dog
2551,dog
2552,cat
2553,cat
2554,dog
2555,cat
2556,dog
2557,cat
2558,cat
2559,cat
2560,dog
2561,cat
2562,cat
2563,dog
2564,dog
2565,cat
2566,cat
2567,dog
2568,cat
2569,cat
2570,dog
2571,cat
2572,dog
2573,cat
2574,dog
2575,dog
2576,dog
2577,dog
2578,cat
2579,dog
2580,dog
2581,dog
2582,dog
2583,dog
2584,dog
2585,dog
2586,cat
2587,cat
2588,cat
2589,cat
2590,dog
2591,cat
2592,cat
2593,cat
2594,cat
2595,dog
2596,dog
2597,cat
2598,dog
2599,cat
2600,cat
2601,cat
2602,dog
2603,dog
2604,cat
2605,dog
2606,dog
2607,dog
2608,cat
2609,cat
2610,cat
2611,dog
2612,dog
2613,cat
2614,dog
2615,dog
2616,cat
2617,dog
2618,dog
2619,dog
2620,cat
2621,cat
2622,cat
2623,cat
2624,dog
2625,dog
2626,cat
2627,dog
2628,dog
2629,dog
2630,dog
2631,dog
2632,dog
2633,dog
2634,cat
2635,cat
2636,dog
2637,dog
2638,dog
2639,dog
2640,cat
2641,cat
2642,dog
2643,cat
2644,dog
2645,dog
2646,dog
2647,cat
2648,dog
2649,dog
2650,dog
2651,cat
2652,cat
2653,dog
2654,dog
2655,cat
2656,cat
2657,cat
2658,dog
2659,dog
2660,cat
2661,dog
2662,cat
2663,cat
2664,cat
2665,cat
2666,cat
2667,cat
2668,cat
2669,cat
2670,cat
2671,dog
2672,dog
2673,cat
2674,dog
2675,cat
2676,cat
2677,cat
2678,dog
2679,dog
2680,dog
2681,dog
2682,dog
2683,dog
2684,dog
2685,dog
2686,cat
2687,dog
2688,dog
2689,cat
2690,cat
2691,cat
2692,dog
2693,cat
2694,dog
2695,dog
2696,dog
2697,dog
2698,dog
2699,cat
2700,dog
2701,cat
2702,dog
2703,cat
2704,dog
2705,cat
2706,dog
2707,dog
2708,cat
2709,dog
2710,dog
2711,cat
2712,dog
2713,dog
2714,cat
2715,dog
2716,cat
2717,dog
2718,dog
2719,dog
2720,cat
2721,cat
2722,dog
2723,dog
2724,dog
2725,dog
2726,cat
2727,dog
2728,dog
2729,dog
2730,cat
2731,cat
2732,dog
2733,cat
2734,cat
2735,dog
2736,cat
2737,dog
2738,dog
2739,cat
2740,dog
2741,dog
2742,cat
2743,cat
2744,cat
2745,cat
2746,dog
2747,cat
2748,dog
2749,dog
2750,cat
2751,cat
2752,dog
2753,cat
2754,dog
2755,dog
2756,dog
2757,cat
2758,dog
2759,cat
2760,dog
2761,cat
2762,cat
2763,dog
2764,cat
2765,dog
2766,dog
2767,dog
2768,cat
2769,cat
2770,dog
2771,dog
2772,dog
2773,dog
2774,dog
2775,cat
2776,cat
2777,cat
2778,dog
2779,dog
2780,cat
2781,dog
2782,cat
2783,dog
2784,cat
2785,dog
2786,cat
2787,cat
2788,cat
2789,dog
2790,cat
2791,cat
2792,cat
2793,cat
2794,dog
2795,dog
2796,dog
2797,cat
2798,cat
2799,cat
2800,dog
2801,dog
2802,dog
2803,dog
2804,cat
2805,dog
2806,dog
2807,dog
2808,cat
2809,dog
2810,dog
2811,cat
2812,dog
2813,dog
2814,cat
2815,dog
2816,cat
2817,dog
2818,dog
2819,dog
2820,cat
2821,cat
2822,cat
2823,cat
2824,dog
2825,dog
2826,dog
2827,dog
2828,cat
2829,cat
2830,dog
2831,cat
2832,cat
2833,cat
2834,cat
2835,cat
2836,cat
2837,cat
2838,cat
2839,dog
2840,cat
2841,cat
2842,cat
2843,dog
2844,dog
2845,dog
2846,dog
2847,dog
2848,dog
2849,cat
2850,cat
2851,dog
2852,dog
2853,dog
2854,dog
2855,cat
2856,dog
2857,dog
2858,dog
2859,dog
2860,dog
2861,cat
2862,cat
2863,dog
2864,cat
2865,cat
2866,dog
2867,dog
2868,dog
2869,dog
2870,cat
2871,dog
2872,dog
2873,dog
2874,dog
2875,dog
2876,cat
2877,cat
2878,cat
2879,dog
2880,cat
2881,cat
2882,cat
2883,dog
2884,dog
2885,dog
2886,dog
2887,cat
2888,cat
2889,cat
2890,cat
2891,dog
2892,cat
2893,dog
2894,dog
2895,dog
2896,dog
2897,cat
2898,cat
2899,dog
2900,cat
2901,dog
2902,cat
2903,cat
2904,dog
2905,cat
2906,cat
2907,dog
2908,dog
2909,dog
2910,dog
2911,cat
2912,cat
2913,dog
2914,dog
2915,cat
2916,dog
2917,dog
2918,dog
2919,dog
2920,cat
2921,dog
2922,dog
2923,dog
2924,cat
2925,dog
2926,dog
2927,dog
2928,dog
2929,cat
2930,dog
2931,dog
2932,dog
2933,dog
2934,cat
2935,dog
2936,dog
2937,cat
2938,cat
2939,dog
2940,dog
2941,cat
2942,dog
2943,cat
2944,cat
2945,cat
2946,dog
2947,cat
2948,cat
2949,dog
2950,dog
2951,dog
2952,cat
2953,dog
2954,dog
2955,cat
2956,cat
2957,dog
2958,cat
2959,cat
2960,cat
2961,dog
2962,cat
2963,dog
2964,cat
2965,cat
2966,dog
2967,cat
2968,cat
2969,cat
2970,cat
2971,dog
2972,dog
2973,cat
2974,dog
2975,dog
2976,cat
2977,cat
2978,dog
2979,dog
2980,dog
2981,dog
2982,dog
2983,dog
2984,dog
2985,dog
2986,dog
2987,dog
2988,dog
2989,dog
2990,cat
2991,cat
2992,dog
2993,cat
2994,cat
2995,dog
2996,dog
2997,dog
2998,dog
2999,cat
3000,cat
3001,dog
3002,dog
3003,cat
3004,cat
3005,dog
3006,dog
3007,cat
3008,cat
3009,dog
3010,cat
3011,dog
3012,cat
3013,cat
3014,dog
3015,dog
3016,cat
3017,cat
3018,cat
3019,cat
3020,cat
3021,dog
3022,cat
3023,dog
3024,dog
3025,dog
3026,dog
3027,dog
3028,cat
3029,cat
3030,cat
3031,cat
3032,dog
3033,dog
3034,cat
3035,cat
3036,dog
3037,cat
3038,dog
3039,cat
3040,dog
3041,cat
3042,cat
3043,dog
3044,cat
3045,cat
3046,cat
3047,cat
3048,cat
3049,cat
3050,dog
3051,cat
3052,dog
3053,dog
3054,dog
3055,dog
3056,dog
3057,cat
3058,cat
3059,cat
3060,cat
3061,dog
3062,dog
3063,cat
3064,dog
3065,cat
3066,dog
3067,dog
3068,dog
3069,dog
3070,dog
3071,cat
3072,dog
3073,cat
3074,dog
3075,cat
3076,cat
3077,dog
3078,dog
3079,cat
3080,dog
3081,dog
3082,cat
3083,dog
3084,cat
3085,cat
3086,cat
3087,dog
3088,dog
3089,dog
3090,cat
3091,dog
3092,cat
3093,dog
3094,dog
3095,cat
3096,cat
3097,dog
3098,cat
3099,dog
3100,cat
3101,dog
3102,cat
3103,cat
3104,cat
3105,dog
3106,dog
3107,dog
3108,dog
3109,cat
3110,dog
3111,cat
3112,cat
3113,dog
3114,dog
3115,cat
3116,cat
3117,cat
3118,dog
3119,dog
3120,cat
3121,dog
3122,dog
3123,dog
3124,cat
3125,dog
3126,dog
3127,cat
3128,dog
3129,dog
3130,dog
3131,dog
3132,dog
3133,cat
3134,dog
3135,cat
3136,cat
3137,cat
3138,dog
3139,dog
3140,dog
3141,dog
3142,dog
3143,dog
3144,dog
3145,cat
3146,dog
3147,dog
3148,dog
3149,dog
3150,cat
3151,dog
3152,cat
3153,cat
3154,dog
3155,cat
3156,cat
3157,cat
3158,dog
3159,dog
3160,dog
3161,dog
3162,cat
3163,cat
3164,cat
3165,dog
3166,cat
3167,dog
3168,dog
3169,cat
3170,dog
3171,dog
3172,cat
3173,dog
3174,dog
3175,cat
3176,cat
3177,cat
3178,cat
3179,cat
3180,dog
3181,dog
3182,cat
3183,cat
3184,dog
3185,cat
3186,cat
3187,cat
3188,cat
3189,dog
3190,cat
3191,dog
3192,cat
3193,dog
3194,dog
3195,cat
3196,cat
3197,cat
3198,dog
3199,cat
3200,cat
3201,dog
3202,dog
3203,cat
3204,dog
3205,dog
3206,dog
3207,dog
3208,dog
3209,cat
3210,dog
3211,dog
3212,dog
3213,cat
3214,cat
3215,dog
3216,cat
3217,dog
3218,dog
3219,dog
3220,dog
3221,dog
3222,cat
3223,cat
3224,dog
3225,dog
3226,dog
3227,cat
3228,cat
3229,dog
3230,dog
3231,cat
3232,cat
3233,cat
3234,dog
3235,dog
3236,cat
3237,dog
3238,cat
3239,dog
3240,cat
3241,cat
3242,cat
3243,cat
3244,dog
3245,cat
3246,dog
3247,dog
3248,cat
3249,dog
3250,dog
3251,cat
3252,cat
3253,dog
3254,dog
3255,dog
3256,dog
3257,cat
3258,cat
3259,cat
3260,cat
3261,dog
3262,cat
3263,dog
3264,dog
3265,cat
3266,dog
3267,dog
3268,cat
3269,dog
3270,dog
3271,dog
3272,dog
3273,dog
3274,cat
3275,cat
3276,dog
3277,dog
3278,cat
3279,dog
3280,dog
3281,dog
3282,cat
3283,dog
3284,cat
3285,dog
3286,dog
3287,dog
3288,dog
3289,dog
3290,cat
3291,cat
3292,dog
3293,cat
3294,dog
3295,dog
3296,cat
3297,dog
3298,dog
3299,cat
3300,dog
3301,cat
3302,dog
3303,dog
3304,dog
3305,cat
3306,dog
3307,cat
3308,cat
3309,dog
3310,dog
3311,dog
3312,dog
3313,cat
3314,cat
3315,dog
3316,dog
3317,dog
3318,dog
3319,cat
3320,cat
3321,cat
3322,dog
3323,cat
3324,dog
3325,cat
3326,cat
3327,cat
3328,dog
3329,dog
3330,dog
3331,cat
3332,dog
3333,dog
3334,dog
3335,cat
3336,dog
3337,cat
3338,dog
3339,cat
3340,cat
3341,dog
3342,dog
3343,cat
3344,cat
3345,dog
3346,dog
3347,dog
3348,cat
3349,dog
3350,dog
3351,cat
3352,dog
3353,cat
3354,dog
3355,dog
3356,dog
3357,dog
3358,dog
3359,dog
3360,dog
3361,dog
3362,dog
3363,cat
3364,cat
3365,dog
3366,cat
3367,cat
3368,cat
3369,dog
3370,cat
3371,dog
3372,dog
3373,cat
3374,dog
3375,cat
3376,cat
3377,dog
3378,dog
3379,dog
3380,dog
3381,cat
3382,dog
3383,cat
3384,dog
3385,dog
3386,dog
3387,cat
3388,dog
3389,dog
3390,cat
3391,dog
3392,cat
3393,dog
3394,dog
3395,cat
3396,dog
3397,cat
3398,cat
3399,cat
3400,dog
3401,cat
3402,dog
3403,dog
3404,dog
3405,dog
3406,dog
3407,dog
3408,dog
3409,dog
3410,dog
3411,dog
3412,cat
3413,cat
3414,dog
3415,cat
3416,dog
3417,dog
3418,cat
3419,cat
3420,dog
3421,cat
3422,cat
3423,cat
3424,dog
3425,dog
3426,cat
3427,dog
3428,dog
3429,cat
3430,dog
3431,dog
3432,dog
3433,dog
3434,dog
3435,cat
3436,cat
3437,dog
3438,dog
3439,cat
3440,cat
3441,cat
3442,dog
3443,dog
3444,cat
3445,dog
3446,dog
3447,dog
3448,dog
3449,dog
3450,cat
3451,dog
3452,cat
3453,dog
3454,dog
3455,cat
3456,cat
3457,dog
3458,cat
3459,dog
3460,cat
3461,cat
3462,dog
3463,cat
3464,dog
3465,dog
3466,cat
3467,cat
3468,cat
3469,cat
3470,dog
3471,dog
3472,dog
3473,dog
3474,dog
3475,dog
3476,dog
3477,cat
3478,dog
3479,dog
3480,cat
3481,cat
3482,dog
3483,dog
3484,dog
3485,dog
3486,cat
3487,cat
3488,dog
3489,dog
3490,cat
3491,cat
3492,cat
3493,dog
3494,dog
3495,cat
3496,cat
3497,cat
3498,dog
3499,cat
3500,cat
3501,cat
3502,dog
3503,dog
3504,cat
3505,cat
3506,dog
3507,dog
3508,dog
3509,dog
3510,cat
3511,cat
3512,dog
3513,dog
3514,cat
3515,dog
3516,cat
3517,dog
3518,cat
3519,dog
3520,dog
3521,dog
3522,dog
3523,cat
3524,cat
3525,dog
3526,cat
3527,cat
3528,dog
3529,cat
3530,dog
3531,dog
3532,dog
3533,cat
3534,dog
3535,dog
3536,cat
3537,cat
3538,dog
3539,dog
3540,dog
3541,cat
3542,cat
3543,dog
3544,dog
3545,dog
3546,dog
3547,cat
3548,dog
3549,dog
3550,cat
3551,cat
3552,cat
3553,dog
3554,cat
3555,dog
3556,dog
3557,dog
3558,dog
3559,dog
3560,cat
3561,dog
3562,cat
3563,dog
3564,cat
3565,dog
3566,cat
3567,cat
3568,dog
3569,dog
3570,cat
3571,dog
3572,dog
3573,cat
3574,dog
3575,cat
3576,cat
3577,cat
3578,dog
3579,dog
3580,dog
3581,dog
3582,cat
3583,dog
3584,dog
3585,cat
3586,cat
3587,dog
3588,dog
3589,dog
3590,dog
3591,cat
3592,dog
3593,dog
3594,dog
3595,dog
3596,dog
3597,cat
3598,dog
3599,cat
3600,cat
3601,dog
3602,dog
3603,dog
3604,dog
3605,cat
3606,dog
3607,dog
3608,cat
3609,dog
3610,dog
3611,dog
3612,dog
3613,dog
3614,dog
3615,cat
3616,cat
3617,dog
3618,dog
3619,cat
3620,dog
3621,dog
3622,dog
3623,dog
3624,dog
3625,dog
3626,dog
3627,dog
3628,cat
3629,cat
3630,cat
3631,cat
3632,dog
3633,dog
3634,cat
3635,cat
3636,cat
3637,cat
3638,dog
3639,dog
3640,cat
3641,dog
3642,cat
3643,cat
3644,dog
3645,cat
3646,cat
3647,cat
3648,dog
3649,dog
3650,dog
3651,dog
3652,dog
3653,dog
3654,dog
3655,dog
3656,dog
3657,dog
3658,dog
3659,dog
3660,dog
3661,dog
3662,dog
3663,dog
3664,cat
3665,dog
3666,dog
3667,cat
3668,cat
3669,cat
3670,cat
3671,dog
3672,cat
3673,cat
3674,dog
3675,dog
3676,dog
3677,cat
3678,cat
3679,cat
3680,dog
3681,cat
3682,dog
3683,dog
3684,dog
3685,dog
3686,dog
3687,dog
3688,cat
3689,dog
3690,cat
3691,dog
3692,cat
3693,dog
3694,cat
3695,cat
3696,cat
3697,cat
3698,cat
3699,cat
3700,dog
3701,dog
3702,dog
3703,cat
3704,cat
3705,dog
3706,cat
3707,dog
3708,dog
3709,dog
3710,dog
3711,dog
3712,dog
3713,cat
3714,dog
3715,dog
3716,cat
3717,dog
3718,cat
3719,dog
3720,dog
3721,cat
3722,dog
3723,dog
3724,dog
3725,dog
3726,cat
3727,cat
3728,dog
3729,dog
3730,dog
3731,dog
3732,cat
3733,cat
3734,cat
3735,dog
3736,dog
3737,dog
3738,dog
3739,dog
3740,cat
3741,cat
3742,dog
3743,cat
3744,cat
3745,dog
3746,dog
3747,dog
3748,dog
3749,dog
3750,dog
3751,dog
3752,cat
3753,cat
3754,cat
3755,dog
3756,cat
3757,cat
3758,dog
3759,cat
3760,cat
3761,cat
3762,dog
3763,dog
3764,dog
3765,dog
3766,dog
3767,dog
3768,dog
3769,dog
3770,cat
3771,dog
3772,dog
3773,dog
3774,dog
3775,cat
3776,dog
3777,dog
3778,cat
3779,dog
3780,cat
3781,dog
3782,cat
3783,cat
3784,cat
3785,cat
3786,dog
3787,dog
3788,cat
3789,dog
3790,dog
3791,cat
3792,cat
3793,dog
3794,cat
3795,cat
3796,dog
3797,cat
3798,dog
3799,dog
3800,cat
3801,cat
3802,dog
3803,dog
3804,cat
3805,dog
3806,dog
3807,dog
3808,dog
3809,dog
3810,cat
3811,dog
3812,cat
3813,dog
3814,cat
3815,dog
3816,cat
3817,dog
3818,dog
3819,dog
3820,dog
3821,dog
3822,cat
3823,cat
3824,dog
3825,dog
3826,dog
3827,cat
3828,cat
3829,cat
3830,dog
3831,dog
3832,dog
3833,dog
3834,dog
3835,cat
3836,cat
3837,dog
3838,cat
3839,cat
3840,dog
3841,cat
3842,cat
3843,cat
3844,cat
3845,cat
3846,cat
3847,dog
3848,cat
3849,dog
3850,dog
3851,dog
3852,cat
3853,dog
3854,dog
3855,dog
3856,dog
3857,cat
3858,cat
3859,dog
3860,dog
3861,dog
3862,dog
3863,dog
3864,cat
3865,cat
3866,dog
3867,dog
3868,dog
3869,dog
3870,dog
3871,dog
3872,cat
3873,dog
3874,cat
3875,cat
3876,cat
3877,cat
3878,dog
3879,dog
3880,cat
3881,cat
3882,dog
3883,dog
3884,cat
3885,cat
3886,cat
3887,cat
3888,dog
3889,dog
3890,dog
3891,dog
3892,dog
3893,dog
3894,cat
3895,dog
3896,cat
3897,dog
3898,dog
3899,dog
3900,cat
3901,dog
3902,cat
3903,dog
3904,dog
3905,dog
3906,dog
3907,dog
3908,cat
3909,cat
3910,cat
3911,dog
3912,cat
3913,dog
3914,dog
3915,cat
3916,dog
3917,dog
3918,cat
3919,cat
3920,dog
3921,dog
3922,dog
3923,cat
3924,dog
3925,cat
3926,dog
3927,dog
3928,cat
3929,dog
3930,dog
3931,dog
3932,dog
3933,cat
3934,cat
3935,cat
3936,dog
3937,cat
3938,cat
3939,cat
3940,cat
3941,cat
3942,dog
3943,dog
3944,cat
3945,dog
3946,dog
3947,dog
3948,cat
3949,dog
3950,dog
3951,dog
3952,cat
3953,dog
3954,dog
3955,dog
3956,cat
3957,cat
3958,cat
3959,dog
3960,dog
3961,dog
3962,cat
3963,dog
3964,dog
3965,cat
3966,dog
3967,cat
3968,dog
3969,dog
3970,dog
3971,dog
3972,cat
3973,dog
3974,cat
3975,cat
3976,dog
3977,dog
3978,dog
3979,cat
3980,cat
3981,cat
3982,cat
3983,cat
3984,cat
3985,dog
3986,dog
3987,cat
3988,dog
3989,cat
3990,cat
3991,dog
3992,cat
3993,dog
3994,cat
3995,dog
3996,cat
3997,dog
3998,cat
3999,dog
4000,dog
4001,cat
4002,cat
4003,dog
4004,dog
4005,dog
4006,cat
4007,cat
4008,cat
4009,cat
4010,cat
4011,dog
4012,dog
4013,dog
4014,dog
4015,cat
4016,dog
4017,dog
4018,cat
4019,cat
4020,dog
4021,dog
4022,cat
4023,dog
4024,cat
4025,cat
4026,cat
4027,cat
4028,dog
4029,dog
4030,dog
4031,cat
4032,dog
4033,cat
4034,dog
4035,cat
4036,dog
4037,dog
4038,dog
4039,dog
4040,dog
4041,dog
4042,dog
4043,dog
4044,cat
4045,dog
4046,dog
4047,cat
4048,cat
4049,dog
4050,dog
4051,dog
4052,dog
4053,cat
4054,cat
4055,dog
4056,dog
4057,cat
4058,dog
4059,cat
4060,dog
4061,cat
4062,dog
4063,dog
4064,dog
4065,cat
4066,cat
4067,cat
4068,cat
4069,dog
4070,dog
4071,cat
4072,cat
4073,dog
4074,cat
4075,cat
4076,dog
4077,dog
4078,cat
4079,cat
4080,cat
4081,cat
4082,dog
4083,cat
4084,dog
4085,cat
4086,cat
4087,cat
4088,cat
4089,cat
4090,dog
4091,cat
4092,cat
4093,dog
4094,dog
4095,dog
4096,cat
4097,cat
4098,cat
4099,dog
4100,dog
4101,dog
4102,cat
4103,dog
4104,cat
4105,dog
4106,dog
4107,dog
4108,dog
4109,dog
4110,cat
4111,dog
4112,dog
4113,cat
4114,dog
4115,cat
4116,dog
4117,dog
4118,cat
4119,cat
4120,dog
4121,dog
4122,dog
4123,dog
4124,dog
4125,dog
4126,cat
4127,dog
4128,dog
4129,cat
4130,dog
4131,dog
4132,dog
4133,dog
4134,dog
4135,dog
4136,dog
4137,dog
4138,dog
4139,dog
4140,cat
4141,dog
4142,cat
4143,dog
4144,cat
4145,dog
4146,cat
4147,cat
4148,cat
4149,dog
4150,cat
4151,dog
4152,dog
4153,cat
4154,cat
4155,dog
4156,cat
4157,dog
4158,cat
4159,dog
4160,dog
4161,cat
4162,cat
4163,dog
4164,dog
4165,cat
4166,cat
4167,dog
4168,cat
4169,dog
4170,dog
4171,cat
4172,cat
4173,cat
4174,cat
4175,dog
4176,dog
4177,dog
4178,dog
4179,cat
4180,dog
4181,dog
4182,dog
4183,dog
4184,cat
4185,cat
4186,dog
4187,dog
4188,cat
4189,cat
4190,dog
4191,dog
4192,cat
4193,dog
4194,dog
4195,dog
4196,dog
4197,cat
4198,cat
4199,cat
4200,dog
4201,cat
4202,cat
4203,dog
4204,cat
4205,cat
4206,dog
4207,dog
4208,cat
4209,cat
4210,dog
4211,dog
4212,cat
4213,dog
4214,cat
4215,dog
4216,dog
4217,cat
4218,dog
4219,dog
4220,cat
4221,dog
4222,dog
4223,cat
4224,cat
4225,dog
4226,cat
4227,cat
4228,dog
4229,cat
4230,cat
4231,dog
4232,dog
4233,dog
4234,cat
4235,dog
4236,cat
4237,dog
4238,dog
4239,dog
4240,cat
4241,cat
4242,cat
4243,dog
4244,dog
4245,dog
4246,dog
4247,dog
4248,dog
4249,dog
4250,cat
4251,dog
4252,cat
4253,dog
4254,cat
4255,dog
4256,cat
4257,dog
4258,dog
4259,cat
4260,dog
4261,dog
4262,dog
4263,cat
4264,cat
4265,cat
4266,cat
4267,cat
4268,dog
4269,dog
4270,dog
4271,dog
4272,cat
4273,cat
4274,dog
4275,cat
4276,cat
4277,cat
4278,dog
4279,dog
4280,dog
4281,cat
4282,dog
4283,dog
4284,dog
4285,dog
4286,dog
4287,dog
4288,dog
4289,cat
4290,dog
4291,dog
4292,cat
4293,cat
4294,cat
4295,dog
4296,dog
4297,dog
4298,cat
4299,cat
4300,dog
4301,cat
4302,cat
4303,dog
4304,cat
4305,cat
4306,cat
4307,cat
4308,dog
4309,cat
4310,dog
4311,dog
4312,dog
4313,dog
4314,cat
4315,cat
4316,cat
4317,cat
4318,cat
4319,dog
4320,dog
4321,cat
4322,cat
4323,dog
4324,cat
4325,cat
4326,cat
4327,dog
4328,dog
4329,dog
4330,dog
4331,dog
4332,dog
4333,dog
4334,dog
4335,dog
4336,dog
4337,cat
4338,dog
4339,dog
4340,cat
4341,cat
4342,dog
4343,dog
4344,cat
4345,dog
4346,dog
4347,cat
4348,cat
4349,dog
4350,cat
4351,dog
4352,dog
4353,cat
4354,cat
4355,dog
4356,dog
4357,cat
4358,cat
4359,cat
4360,dog
4361,cat
4362,dog
4363,cat
4364,cat
4365,dog
4366,dog
4367,dog
4368,dog
4369,cat
4370,dog
4371,cat
4372,dog
4373,cat
4374,dog
4375,cat
4376,cat
4377,cat
4378,dog
4379,dog
4380,dog
4381,cat
4382,dog
4383,dog
4384,cat
4385,dog
4386,dog
4387,cat
4388,dog
4389,cat
4390,cat
4391,dog
4392,dog
4393,dog
4394,dog
4395,dog
4396,cat
4397,dog
4398,cat
4399,dog
4400,dog
4401,dog
4402,dog
4403,dog
4404,dog
4405,dog
4406,dog
4407,cat
4408,cat
4409,cat
4410,dog
4411,dog
4412,dog
4413,dog
4414,cat
4415,cat
4416,dog
4417,dog
4418,cat
4419,dog
4420,cat
4421,cat
4422,cat
4423,cat
4424,cat
4425,dog
4426,dog
4427,cat
4428,dog
4429,dog
4430,cat
4431,cat
4432,cat
4433,dog
4434,dog
4435,dog
4436,cat
4437,dog
4438,cat
4439,cat
4440,dog
4441,dog
4442,dog
4443,cat
4444,cat
4445,dog
4446,cat
4447,dog
4448,cat
4449,dog
4450,dog
4451,dog
4452,cat
4453,dog
4454,dog
4455,dog
4456,dog
4457,dog
4458,cat
4459,dog
4460,dog
4461,cat
4462,dog
4463,cat
4464,cat
4465,dog
4466,dog
4467,dog
4468,dog
4469,dog
4470,dog
4471,dog
4472,dog
4473,cat
4474,dog
4475,cat
4476,cat
4477,dog
4478,dog
4479,dog
4480,cat
4481,cat
4482,cat
4483,dog
4484,cat
4485,cat
4486,cat
4487,dog
4488,dog
4489,dog
4490,dog
4491,cat
4492,dog
4493,dog
4494,dog
4495,cat
4496,cat
4497,dog
4498,dog
4499,dog
4500,dog
4501,dog
4502,cat
4503,dog
4504,dog
4505,cat
4506,dog
4507,cat
4508,dog
4509,cat
4510,dog
4511,cat
4512,cat
4513,cat
4514,dog
4515,cat
4516,cat
4517,cat
4518,dog
4519,cat
4520,dog
4521,cat
4522,cat
4523,cat
4524,dog
4525,dog
4526,dog
4527,dog
4528,dog
4529,cat
4530,dog
4531,dog
4532,dog
4533,dog
4534,cat
4535,dog
4536,cat
4537,dog
4538,cat
4539,cat
4540,dog
4541,dog
4542,dog
4543,dog
4544,cat
4545,cat
4546,cat
4547,dog
4548,cat
4549,cat
4550,dog
4551,dog
4552,dog
4553,dog
4554,dog
4555,dog
4556,cat
4557,cat
4558,cat
4559,cat
4560,cat
4561,cat
4562,cat
4563,cat
4564,dog
4565,dog
4566,cat
4567,dog
4568,cat
4569,dog
4570,cat
4571,cat
4572,dog
4573,cat
4574,dog
4575,cat
4576,cat
4577,dog
4578,dog
4579,dog
4580,cat
4581,dog
4582,dog
4583,cat
4584,cat
4585,cat
4586,dog
4587,dog
4588,dog
4589,dog
4590,dog
4591,dog
4592,cat
4593,dog
4594,dog
4595,cat
4596,cat
4597,dog
4598,cat
4599,cat
4600,cat
4601,cat
4602,dog
4603,cat
4604,dog
4605,dog
4606,cat
4607,cat
4608,dog
4609,cat
4610,cat
4611,dog
4612,dog
4613,dog
4614,cat
4615,dog
4616,dog
4617,cat
4618,cat
4619,cat
4620,dog
4621,cat
4622,dog
4623,cat
4624,dog
4625,cat
4626,dog
4627,dog
4628,dog
4629,dog
4630,cat
4631,cat
4632,dog
4633,cat
4634,cat
4635,dog
4636,cat
4637,cat
4638,dog
4639,cat
4640,dog
4641,dog
4642,dog
4643,dog
4644,dog
4645,dog
4646,cat
4647,dog
4648,cat
4649,dog
4650,cat
4651,cat
4652,cat
4653,dog
4654,dog
4655,cat
4656,cat
4657,dog
4658,dog
4659,dog
4660,cat
4661,cat
4662,cat
4663,cat
4664,dog
4665,dog
4666,cat
4667,dog
4668,dog
4669,dog
4670,dog
4671,dog
4672,dog
4673,cat
4674,cat
4675,cat
4676,dog
4677,dog
4678,dog
4679,cat
4680,dog
4681,dog
4682,cat
4683,cat
4684,dog
4685,dog
4686,cat
4687,cat
4688,cat
4689,cat
4690,dog
4691,dog
4692,cat
4693,dog
4694,cat
4695,dog
4696,cat
4697,dog
4698,cat
4699,dog
4700,cat
4701,dog
4702,dog
4703,cat
4704,dog
4705,dog
4706,cat
4707,dog
4708,cat
4709,dog
4710,cat
4711,dog
4712,cat
4713,dog
4714,dog
4715,cat
4716,dog
4717,cat
4718,dog
4719,cat
4720,dog
4721,cat
4722,dog
4723,cat
4724,dog
4725,dog
4726,cat
4727,dog
4728,dog
4729,dog
4730,dog
4731,cat
4732,cat
4733,dog
4734,dog
4735,cat
4736,dog
4737,cat
4738,dog
4739,dog
4740,cat
4741,dog
4742,cat
4743,dog
4744,dog
4745,dog
4746,dog
4747,dog
4748,cat
4749,dog
4750,cat
4751,cat
4752,cat
4753,dog
4754,cat
4755,cat
4756,cat
4757,dog
4758,dog
4759,cat
4760,dog
4761,dog
4762,dog
4763,cat
4764,cat
4765,cat
4766,cat
4767,cat
4768,dog
4769,dog
4770,cat
4771,cat
4772,cat
4773,cat
4774,cat
4775,cat
4776,cat
4777,cat
4778,cat
4779,cat
4780,dog
4781,cat
4782,dog
4783,dog
4784,dog
4785,dog
4786,cat
4787,dog
4788,cat
4789,dog
4790,cat
4791,cat
4792,dog
4793,cat
4794,dog
4795,dog
4796,cat
4797,dog
4798,dog
4799,dog
4800,cat
4801,dog
4802,dog
4803,dog
4804,dog
4805,cat
4806,dog
4807,dog
4808,dog
4809,dog
4810,dog
4811,cat
4812,dog
4813,cat
4814,cat
4815,cat
4816,dog
4817,dog
4818,dog
4819,cat
4820,dog
4821,dog
4822,cat
4823,cat
4824,dog
4825,cat
4826,cat
4827,cat
4828,dog
4829,dog
4830,dog
